Localefase_1800Hz,Spoorfase_1800Hz
0.0106045749626956,0.545022949031054
-0.00289720522071301,0.36650834455877
-0.015443410229519,0.167330993495432
-0.0264062665446999,-0.0438728675770067
-0.0367392577372567,-0.253214025613075
-0.0454829311129991,-0.444540191585288
-0.0514941464572392,-0.606599280190869
-0.052197408786566,-0.729339461808858
-0.0485522946860596,-0.801979818563798
-0.0420553703956291,-0.823379582416835
-0.0337784541961478,-0.785394061419797
-0.0234725213914992,-0.690411553230065
-0.0111056813310225,-0.546524351714012
0.00239411605779089,-0.36943430328083
0.0149783086528742,-0.166037291512769
0.0259991566389697,0.0439705370504126
0.0363124334308868,0.251149918764121
0.0449887988021733,0.442683344474319
0.0510314244495746,0.606338918386884
0.0517495539955161,0.728720099053707
0.0481737148576991,0.806255480836696
0.0417607922469626,0.825456727613777
0.0334992060627501,0.785246163606065
0.0230317589782837,0.689533394070235
0.0106715468074015,0.547036296687497
-0.00280208869672355,0.368577256284888
-0.0153611687345963,0.169583264924537
-0.0263317457202815,-0.0418362171452906
-0.0367341866481449,-0.251411753332461
-0.0454291782057521,-0.442950522287638
-0.0514710100538757,-0.605251269297849
-0.0522211367020879,-0.728377306420512
-0.0486780491133294,-0.801471532514553
-0.0421952920595324,-0.823546341156896
-0.0339013439125642,-0.786147808937455
-0.0236590343696486,-0.691628927586956
-0.0113728672022071,-0.548109519206058
0.00214417898871816,-0.371280923195
0.0147648409785929,-0.167955546056352
0.0257185429947245,0.0418213842506573
0.0360884868955574,0.249110465986576
0.0448615431171998,0.4408277546069
0.0509430092511722,0.604737382113794
0.051717757477457,0.727583406491541
0.0482811660592594,0.805337032967037
0.0419277686288705,0.825216523476385
0.0336317604130282,0.785444794879813
0.0231677327737294,0.690336969370348
0.0108103237645283,0.548458463679019
-0.00260695545468486,0.370611817678765
-0.015192632263199,0.17184142929004
-0.0262255735340161,-0.0396108405394179
-0.0365117133917618,-0.249269350504735
-0.0453004582320067,-0.440849986264829
-0.0513141791612124,-0.603174079988434
-0.0522103359319572,-0.726735858591631
-0.048748316082778,-0.800391600011908
-0.042318375386069,-0.823174531891824
-0.0340758316401336,-0.786487603321016
-0.0237638472918384,-0.692653029195166
-0.011523434028636,-0.549643646257217
0.00195343200847648,-0.373229007725037
0.0146332869812874,-0.170333041700546
0.0256548939090643,0.0391947102970519
0.0359533470358161,0.246513952240403
0.0447622513669786,0.43849365696514
0.0508939806044575,0.602813318803177
0.0518314122587684,0.726166498986485
0.0484065713055499,0.804435261801012
0.0420210734308028,0.824893642922372
0.0337490880353458,0.785919564098273
0.0233579628024846,0.691553353036612
0.0111148059962687,0.550178837523261
-0.002373405683226,0.372791153304616
-0.014962623619602,0.174542149445026
-0.0260093570744897,-0.0369862944845674
-0.0363542140978614,-0.246524026660807
-0.0451581917216729,-0.438370837199727
-0.051265785905483,-0.601217080672323
